english,mandarin,pinyin
He beguiled me into lending him my bicycle.,????????????,ta piàn wo ba zì xíng che jiè ji le ta?
He behaves as if he had no common sense.,??????????????,ta de yán xìng jiù hao xiàng méi you cháng shí sì de?
He believes in the brotherhood of all peoples.,??????????????,ta xiang xìn gè mín zú jiàn dou yìng qìng rú xiong dì?
He bellowed with pain when the tooth was pulled out.,?????,??????,yá bèi bá diào shí, ta téng de dà jiào?
He bought a heavy quilt for the winter.,???????????,ta mai le yi chuáng hòu bèi zi guò dong?
He brought the box of groceries in from the car.,??????????????,ta ba yi hé shí pin zòng qì che shàng ná jìn lái?
He called her a taxi.,????????????,ta ji ta jiào le yi liàng chu zu qì che?
He called the waiter to bring the menu.,?????????,ta jiào shì zhe ná cài dan lái?
He came back to help his friend who had sprained an ankle.,"?????, ???????????","ta huí guò shen lái,  bang zhù nà wèi niu le jué de péng you?"
He came out with his staple excuse that he was too busy.,?????????,??????,ta yòu ná chu guàn yòng de jiè kou, shuo ta tài máng le?
He came to miss his homeland when he settled down abroad.,??????????,?????????,dàng ta zài guó wài an dìng xia lai shí, ta kai shi xiang niàn zu guó le?
"He came towards me, smiled and offered his hand.",?????,????????????,ta xiàng wo zou lái, wei xiào shen chu shou lái huò wo wò shou?
He can neither read nor write.,??????????,ta jì bù huì dú ye bù kuài xie?
He can run as fast as I can.,??????????,ta néng pao de huò wo yí yàng kuài?
He cares not a whit for public opinion.,?????????,ta duì yú lùn háo bú guan xin?
He carved me some very nice pieces of chicken.,?????????????,ta wèi wo qiè le ji kuài hen hao de ji ròu?
He caught a cold.,?????,ta gan mào le?
He cheated us under the guise of friendship.,?????????????,ta yi you yì wèi yan hù qi piàn le wo men?
He cleaned his hands in the cold water from the tap.,??????????????????,ta yòng zì lái shui lóng tóu liú chu de liáng shui ba shou xi gan jìng?
He cleaved an apple with a knife.,????????????,ta yòng yi ba dao zi jiàng píng guo qiè kai?
He closed his speech with a funny joke.,???????????????,ta yòng yi zé you qù de xiào huà jié shù le yan jiang?
He combines creative imagination and true scholarship.,??????????????????????,ta tóng shí jù you chuàng zào xìng xiang xiàng lì huò zhen zhèng de zhì xué jin yán xué feng?
He constantly writes articles for the local paper.,????????????,ta jing cháng ji dang dì bào zhi xie wén zhang?
He couldn't talk a word of Chinese.,??????????,ta yi jù Zhong wén dou bù huì shuo?
He cut himself/his face shaving,?????????.,ta gua hú xu shí ge pò le lian?
He decided to dwell on our island.,????????????,ta jué dìng dào wo men de dao shàng ju zhù?
He deprecates changing the party's policy.,???????????,ta bù zàn chéng gai biàn dang de fang zhen?
He deserves to be punished with the full rigor of the law.,??????????????,ta ying gai shòu dào fa lu:4 zuì yán lì de chéng fá?
He determined to view the rooms behind the office.,?????????????????,ta jué xin qù kàn kan bàn gong shì hòu bian de nà xie fáng jian?
He devises a new type of transistor.,????????????,ta fa míng le yi zhòng xin de jing ti guan?
He did a two-year stint in the army when he left school.,?????????????,ta lí kai xué xiào hòu fú le liang nián bing yì?
He did his back in lifting heavy furniture.,??????????????,ta zài tái chén zhòng de jia jù shí niu shang le yao?
"He didn't answer, but just continued to nibble at his food.",?????,?????????????,ta méi you huí dá, zhi shì jì xù yi dian yi dian de jí dong xi?
"He didn't do any preparation for this exam, so he failed.",??????????,??????,ta kao shì qián mò zuò rèn hé zhun bèi, suo yi bù jí gé?
He didn't wake up until 11 o'clock in the morning.,?????????,ta shàng wu shí yi dian cái xing?
He directed the building of the new bridge.,??????????????,ta zhu chí xiu jiàn zhè zuò qiáo de jiàn zhù gong chéng?
He dismissed the unpleasant subject and talked about something else.,??????????????,?????????,ta bù tán lùn zhè gè lìng rén bù yú kuài de huà tí, ér qù tán lùn bié de shì qing?
He disobeyed his mother and went to the party.,????????,????????,ta bù tìng mu qin de quàn gào, can jia le nà cì jù huì?
He does well in physics.,?????????,ta de wù li xué de hen hào?
He doesn't care for fish.,???????,ta bù xi huan jí yú?
He doesn't take an active part in many school activities.,???????????????,ta duì xué xiào kè wài huó dòng yi dian ye bù ji jí?
He enfolded her when they met.,???,??????,jiàn miàn shí, ta yong bào le ta?
He erases pencil marks.,?????????,ta ca qù qian bi de hén ji?
He exerted all his influence to make them accept his plan.,??????????????????,ta yòng jìn yi qiè ying xiang lì shi ta men jie shòu ta de jì huà?
He experienced great difficulty in getting a visa to leave the country.,????????????????,ta shen qing chu guó qian zhèng jing lì le hen dà de kùn nan?
He explained the behavior of the old man within reason.,????????????????,ta zòng dào li shàng jie shì le zhè gè lao rén de xíng wéi?
He expressed infectious enthusiasm to his voters.,??????????????????,ta duì ta de xuan mín biao xiàn chu hen you gan ran lì de rè qíng?
He expressed voluble protests.,????????????,ta biao shì le zhèn zhèn you cí de kàng yì?
He feels that they are his equals.,????????????,ta jué de ta men huò ta dì wèi xiang deng?
He felt mortified for his mistake,?????????.,ta duì ta de cuò shen gan xiu kuì?
He felt very hungry after four-hours' hard work.,??????????,???????,xin ku gong zuò le sì gè xiao shí hòu, ta jué de fei cháng è?
He finished the work without any difficulty.,??????????????,ta qing ér yì ju de wán chéng le zhè xiàng gong zuò?
He forced his way through the crowd.,?????????,ta zòng rén qún zhòng ji guò qu?
He fumbled the ball and then dropped it.,???????????,ta bèn shou bèn jué de lòu jie le qiú?
He gashed his foot on a piece of broken glass.,??????????????????,ta de jué zài yi kuài suì bo li shàng huà le yi gè dà kou zi?
He gave a speech on the heresies of the early Protestants.,?????????????????,ta jiù zao qi xin jiào tú de yì duan xié shuo zuò le yan jiang?
He gave me a clap on the back and invited me for a drink.,?????????,??????,ta zài wo bèi shàng pai le yi xià, qing wo qù he jiu?
He gave me a necklace as an anniversary gift.,????????????????,ta ji wo yi tiáo xiàng liàn zuò wéi zhou nián jì niàn li wù?
He gave me no chance to reply to his question.,??????????????,ta méi you ji wo huí dá ta wèn tí de ji huì?
He gave me some good advice.,?????????????,ta xiàng wo tí le yi xie hen hao de yì jiàn?
He go there to drink a soda and eat a hamburger.,??????????????????,ta dào nà li hè yi píng qì shui huò jí yi kuài Hàn bao miàn bao?
He got a fail in history and passes in other subjects.,????????,?????????,ta lì shi kao shì bù jí gé, qí ta ke mù dou tong guò le?
He got the better of his classmates.,??????????,ta shèng guò ta ban zhòng dì tóng xué?
He got to his feet when he saw her father came in.,???????????????,ta kàn dào ta fù qin zou jìn lái jiù zhàn le qi lai?
He graduated from a famous foreign language institute.,??????????????,ta bì yè yú yi suo zhi míng de wài yu xué yuàn?
He guided the man through the streets to the railway station.,??????????????,ta dài zhè gè rén zou guò jie dào dào huo che zhàn?
He had been ill for a long time and consequently he was behind in his work.,?????,????????,ta bìng le hen jiu, yin ci dan wu le gong kè?
He had his arm lopped off by an electric saw.,????????????,ta ràng diàn jù jù diào le yi zhi ge bo?
He had his seat in the sofa and lit a cigar.,"??????, ????????","ta zuò zài sha fa shàng,  dian rán le yi zhi xiang yan?"
He had learned enough German to carry on a conversation.,???????????????,ta yi xué le zú gòu de dé yu lái jìn xíng huì huà?
He had passed the entrance examination of the college.,??????????????,ta yi jing tong guò le dà xué de rù xué kao shì?
He had some mixed pickles and rice for supper.,???????????????,ta wan fàn jí le yi xie shí jin pào cài huò mi fàn?
He had some rice for supper.,???????????,wan fàn shí ta jí le yi xie mi fàn?
He had the idea of shooting them against a complete plain white background.,?????,????????????,ta you gè zhu yi, yi chún bái wèi bèi jing ji ta men pai shè?
"He had to support his seven children, to say nothing of his wife and parents.",???????????,?????????????,ta yào yang huo zì ji de qi gè hái zi, gèng bù bì shuo hái you qi zi huò fù mu le?
He hangs out in the school dormitory.,??????????,ta zhù zài xué xiào de sù shè li?
He has a gift for music.,???????,ta you yin yuè tian fù?
He has a kind heart.,??????,ta xin de shàn liáng?
He has a large farm in the Mississippi Valley.,?????????????????,ta zài mì xi xi bì hé liú yù yong you yi gè dà nóng chang?
He has a pair of overshoes.,???????,ta you yi shuang tào xié?
"He has a rough outside, but a good heart.",?????,?????,ta wài biao cu lu, xin de shàn liáng?
"He has authority, but he doesn't try to dominate others.",????,?????????,ta you quán wei, dàn bìng bù xiang kòng zhì bié rén?
He has collected more than three times as many stamps as I (have).,???????????????,ta shou jí de yóu piào shì wo de san bèi huán bù zhi?
He has done many dishonorable things these years,???,???????????,zhè xie nián, ta gàn le xu duo ke chi de shì qing?
He has gained rich experience in these years.,????,??????????,zhè xie nián lái, ta qu dé le feng fù de jing yàn?
He has got brilliant achievements in the field of physics.,?????????????????,ta zài wù li xué fang miàn yi jing qu dé le jù dà chéng jiù?
"He has natural ability, but has yet to learn the mechanics of his chosen work.",?????,????????????,????????,ta hen you tian fèn, dàn duì xuan zé de gong zuò gai zen yàng chu li, ta réng de hao hao xué xí?
He has some little acquaintance with the Japanese language,?????????.,ta shao wei kuài yi dianr rì yu?
He has some pretty strange political ideas.,?????????????,ta you yi xie hen qí guài de zhèng zhì xìn niàn?
He hasn't much incentive to work hard.,???????????,ta méi you nu lì gong zuò de dòng lì?
He heard a screech of brakes and then fell down.,???????????????,???????,ta ting dào qì che sha che fa chu de jian ruì de sheng yin, rán hòu jiù shuai dao le?
He held both sides of the parka hood closed against the snow.,?????????????????????,ta ba Pài kè dà yi dou mào liang bian dou bang de jin jin de lái dàng zhù xue?
He held her hand in a firm clasp.,???????,ta jin wò ta de shou?
He hit the tennis ball over the net.,?????????,ta ba wang qiú da guò le wang?
"He hitched south towards Italy, and thence into France.",???????????,??????????,ta da chéng pián ju wàng nán qù yì dà lì, rán hòu zòng nà li jìn rù fa guó?
He hove a chair through the window.,???????????,ta ba yi zi zòng chuang hu zhòng pao chu?
He huddled the children into the automobile.,???????????????,ta jí jí máng máng de ba hái zi men tui jìn qì che?
He impedes me to do the job well.,??????????,ta fáng ài wo ba gong zuò zuò hào?
He indicated the location of the Persian Gulf with a pen on the map.,???????????????????,ta yòng yi zhi bi zài dì tú shàng biao chu le Bo si wan de wèi zhi?
He intends to transfer the property to his son.,????????????,ta da suàn ba cái chan zhuan ràng ji ér zi?
He interposed himself between them to stop them fighting.,???????,???????,ta ji jìn liang rén zhong jian, zu zhi ta men da jià?
